date;consumption
24.06.2012;88769
25.06.2012;90902,5
26.06.2012;91324,5
27.06.2012;91447
28.06.2012;91126,5
29.06.2012;89130
30.06.2012;87107
01.07.2012;88924,5
02.07.2012;91096
03.07.2012;91164
04.07.2012;91060,5
05.07.2012;90960,5
06.07.2012;89142,5
07.07.2012;87256,5
08.07.2012;88958
09.07.2012;90929
10.07.2012;91086
11.07.2012;91039
12.07.2012;90907,5
13.07.2012;89027,5
14.07.2012;87067
15.07.2012;88905
16.07.2012;91013
17.07.2012;91125
18.07.2012;91009
19.07.2012;90828,5
20.07.2012;88942
21.07.2012;87083,5
22.07.2012;88991,5
23.07.2012;91081,5
24.07.2012;91381
25.07.2012;91653
26.07.2012;91565,5
27.07.2012;89883,5
28.07.2012;88213,5
29.07.2012;89653
30.07.2012;91486
31.07.2012;91706,5
01.08.2012;91567
02.08.2012;91440,5
03.08.2012;89812,5
04.08.2012;88077,5
05.08.2012;88340
06.08.2012;90003
07.08.2012;91471,5
08.08.2012;91579
09.08.2012;91474
10.08.2012;89996,5
11.08.2012;88342,5
12.08.2012;89845,5
13.08.2012;91739
14.08.2012;91896,5
15.08.2012;91815
16.08.2012;91772,5
17.08.2012;90049,5
18.08.2012;88278,5
19.08.2012;89880,5
20.08.2012;91698
21.08.2012;91874,5
22.08.2012;91987,5
23.08.2012;91918,5
24.08.2012;90129
25.08.2012;88316,5
26.08.2012;89921
27.08.2012;91766,5
28.08.2012;91818,5
29.08.2012;91843,5
30.08.2012;91758,5
31.08.2012;90080
01.09.2012;88337,5
02.09.2012;89918
03.09.2012;91731,5
04.09.2012;91798,5
05.09.2012;91788,5
06.09.2012;91752,5
07.09.2012;90055
08.09.2012;88265
09.09.2012;89949,5
10.09.2012;91855
11.09.2012;91929
12.09.2012;91942
13.09.2012;91839,5
14.09.2012;90067,5
15.09.2012;88270,5
16.09.2012;89892,5
17.09.2012;91856,5
18.09.2012;92009,5
19.09.2012;91922,5
20.09.2012;91849
21.09.2012;90164
22.09.2012;88370
23.09.2012;90064,5
24.09.2012;92004,5
25.09.2012;92167
26.09.2012;92145
27.09.2012;91940,5
28.09.2012;90060
29.09.2012;88184,5
30.09.2012;89976,5
01.10.2012;91993,5
02.10.2012;92088
03.10.2012;92103
04.10.2012;92010,5
05.10.2012;90318,5
06.10.2012;88504
07.10.2012;90087
08.10.2012;91992,5
09.10.2012;92115,5
10.10.2012;92040
11.10.2012;91801
12.10.2012;90165,5
13.10.2012;88481
14.10.2012;90054
15.10.2012;92000,5
16.10.2012;91880,5
17.10.2012;91342,5
18.10.2012;91059,5
19.10.2012;89452,5
20.10.2012;87789,5
21.10.2012;89381
22.10.2012;91186,5
23.10.2012;91271
24.10.2012;91201
25.10.2012;91026
26.10.2012;89207
27.10.2012;87167,5
28.10.2012;87106,5
29.10.2012;89094
30.10.2012;90978,5
31.10.2012;91228
01.11.2012;91298
02.11.2012;89590,5
03.11.2012;87607
04.11.2012;89289,5
05.11.2012;91331
06.11.2012;91398
07.11.2012;91390,5
08.11.2012;91286
09.11.2012;89443
10.11.2012;87515,5
11.11.2012;89221,5
12.11.2012;91290
13.11.2012;91457,5
14.11.2012;91420,5
15.11.2012;91323,5
16.11.2012;89428,5
17.11.2012;87492,5
18.11.2012;89236,5
19.11.2012;91200
20.11.2012;91347
21.11.2012;91402,5
22.11.2012;91290
23.11.2012;89503
24.11.2012;87621
25.11.2012;89428
26.11.2012;91560
27.11.2012;91741
28.11.2012;91858
29.11.2012;91813,5
30.11.2012;89992,5
01.12.2012;88005
02.12.2012;89609
03.12.2012;91739
04.12.2012;92231
05.12.2012;92449,5
06.12.2012;92295,5
07.12.2012;90352,5
08.12.2012;88314,5
09.12.2012;90048,5
10.12.2012;91942
11.12.2012;91745,5
12.12.2012;91676
13.12.2012;91593,5
14.12.2012;89781
15.12.2012;87922
16.12.2012;89713,5
17.12.2012;91725
18.12.2012;91703,5
19.12.2012;91613
20.12.2012;91473,5
21.12.2012;89586,5
22.12.2012;87762
23.12.2012;88728
24.12.2012;88742
25.12.2012;87721
26.12.2012;87788,5
27.12.2012;87767
28.12.2012;87579
29.12.2012;87335,5
30.12.2012;87438
31.12.2012;87912,5
